Registrar Name,Registrar IANA ID,Registrar DUM,Phishing Attacks,Phishing Attack Score,Malicious Phishing Attacks,Malicious Phishing Attack Score,Phishing Domains,Phishing Domain Score,Malicious Phishing Domains,Malicious Phishing Domains Score
"Key-Systems, LLC",1345,433824,232,5.35,132,3.04,199,4.59,126,2.9
"Xiamen ChinaSource Internet Service Co., Ltd",1366,151688,158,10.42,104,6.86,157,10.35,103,6.79
Instra Corporation Pty Ltd.,1376,100239,336,33.52,82,8.18,64,6.38,17,1.7
"Soluciones Corporativas IP, SL",1383,276480,30,1.09,8,0.29,27,0.98,8,0.29
1API GmbH,1387,728691,1259,17.28,58,0.8,756,10.37,53,0.73
Dattatec Corp,1388,195235,88,4.51,34,1.74,79,4.05,30,1.54
Mesh Digital Limited,1390,693354,87,1.25,15,0.22,65,0.94,11,0.16
united-domains GmbH,1408,600784,67,1.12,28,0.47,51,0.85,22,0.37
INWX GmbH,1420,210061,2048,97.5,367,17.47,179,8.52,111,5.28
"TurnCommerce, Inc. DBA NameBright.com",1441,2940334,183,0.62,5,0.02,170,0.58,5,0.02
Vautron Rechenzentrum AG,1443,218518,43,1.97,14,0.64,30,1.37,9,0.41
"URL Solutions, Inc.",1449,192485,1407,73.1,1331,69.15,1402,72.84,1327,68.94
