TLD,TLD DUM,Phishing Attacks,Phishing Attack Score,Malicious Phishing Attacks,Malicious Phishing Attack Score,Phishing Domains,Phishing Domain Score,Malicious Phishing Domains,Malicious Phishing Domains Score,Top Registrar (ID),Top Registrar,Registrar's Phishing Domains,Registrar's Phishing Domains (%),Registrar's Malicious Phishing Domains,Registrar's Malicious Phishing Domains (%)
us,1823691,2111,11.58,1394,7.64,1815,9.95,1167,6.40,1479,"NameSilo, LLC",385,21%,275,24%
vip,1673065,19093,114.12,17413,104.08,18248,109.07,16688,99.75,3765,"NICENIC INTERNATIONAL GROUP CO., LIMITED",12074,66%,11441,69%
vn,526999,218,4.14,60,1.14,109,2.07,28,0.53,,,,,
wang,42308,211,49.87,205,48.45,209,49.40,204,48.22,472,"Dynadot Inc",123,59%,123,60%
website,221795,1410,63.57,905,40.80,989,44.59,805,36.29,1068,"NameCheap, Inc.",482,49%,418,52%
wiki,78873,1010,128.05,885,112.21,823,104.34,747,94.71,1556,"Chengdu West Dimension Digital Technology Co., Ltd.",476,58%,431,58%
win,113527,1597,140.67,1465,129.04,1577,138.91,1455,128.16,472,"Dynadot Inc",925,59%,909,62%
work,339908,1276,37.54,1097,32.27,1030,30.30,885,26.04,1556,"Chengdu West Dimension Digital Technology Co., Ltd.",504,49%,452,51%
world,402152,1589,39.51,955,23.75,1419,35.29,819,20.37,460,"Web Commerce Communications Limited dba WebNic.cc",418,29%,120,15%
ws,93492,224,23.96,33,3.53,58,6.20,29,3.10,460,"Web Commerce Communications Limited dba WebNic.cc",15,26%,12,41%
wtf,37717,40,10.61,27,7.16,37,9.81,24,6.36,3765,"NICENIC INTERNATIONAL GROUP CO., LIMITED",13,35%,12,50%
xin,59352,5076,855.24,4818,811.77,3871,652.21,3626,610.93,1556,"Chengdu West Dimension Digital Technology Co., Ltd.",2069,53%,1984,55%
xn--p1ai,762964,90,1.18,34,0.45,90,1.18,34,0.45,1606,"Registrar of Domain Names REG.RU LLC",26,29%,8,24%
xyz,7948829,21922,27.58,18303,23.03,20738,26.09,17256,21.71,49,"GMO Internet Group, Inc. d/b/a Onamae.com",8918,43%,8569,50%
yachts,85292,111,13.01,87,10.20,103,12.08,79,9.26,3758,"Hefei Juming Network Technology Co., Ltd",31,30%,30,38%
yoga,34872,436,125.03,422,121.01,401,114.99,387,110.98,1599,"Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn)",203,51%,203,52%
za,1381156,256,1.85,32,0.23,216,1.56,32,0.23,1645,"Diamatrix C.C.",27,13%,3,9%
zone,51824,64,12.35,23,4.44,29,5.60,14,2.70,3765,"NICENIC INTERNATIONAL GROUP CO., LIMITED",10,34%,7,50%
